@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
375,'2020/03/23 12:45:17:984',5,0.552395,-0.406395,0.158763,0.026107,0.451505,0.2602,0.208171,1,0,0,0,0,0
376,'2020/03/23 12:45:17:995',5,0.516098,-0.375913,0.176449,0.056612,0.474843,0.268854,0.221022,1,0,0,0,0,0
377,'2020/03/23 12:45:18:007',5,0.600439,-0.370253,0.16988,0.00654,0.463251,0.332897,0.270312,1,0,0,0,0,0
378,'2020/03/23 12:45:18:018',5,0.628442,-0.378003,0.100764,-0.001286,0.438191,0.294196,0.210109,1,0,0,0,0,0
379,'2020/03/23 12:45:18:031',5,0.568301,-0.403178,0.130167,0.026662,0.444651,0.262723,0.205849,1,0,0,0,0,0
380,'2020/03/23 12:45:18:041',5,0.589162,-0.359497,0.191821,0.008293,0.462685,0.323027,0.225094,1,0,0,0,0,0
381,'2020/03/23 12:45:18:053',5,0.533848,-0.409973,0.140368,0.025762,0.503073,0.315616,0.211041,1,0,0,0,0,0
382,'2020/03/23 12:45:18:065',5,0.545611,-0.391455,0.062651,-0.002537,0.401638,0.233432,0.162975,1,0,0,0,0,0
383,'2020/03/23 12:45:18:065',5,0.545611,-0.391455,0.062651,-0.002537,0.401638,0.233432,0.162975,1,0,0,0,0,0
384,'2020/03/23 12:45:18:077',5,0.562856,-0.396831,0.134125,-0.004565,0.453044,0.282207,0.218645,1,0,0,0,0,0
385,'2020/03/23 12:45:18:088',5,0.548807,-0.411658,0.14595,0.007991,0.461306,0.264591,0.207824,1,0,0,0,0,0
386,'2020/03/23 12:45:18:100',5,0.516564,-0.375057,0.183116,0.050481,0.450433,0.256051,0.231862,1,0,0,0,0,0
387,'2020/03/23 12:45:18:111',5,0.588532,-0.37945,0.171409,0.027383,0.477718,0.32104,0.22884,1,0,0,0,0,0
388,'2020/03/23 12:45:18:123',5,0.613607,-0.392227,0.10655,-0.004461,0.439569,0.29943,0.245863,1,0,0,0,0,0
389,'2020/03/23 12:45:18:134',5,0.592178,-0.382361,0.124481,0.022942,0.433176,0.258243,0.186687,1,0,0,0,0,0
390,'2020/03/23 12:45:18:134',5,0.592178,-0.382361,0.124481,0.022942,0.433176,0.258243,0.186687,1,0,0,0,0,0
391,'2020/03/23 12:45:18:147',5,0.575186,-0.37704,0.17748,0.0218,0.481236,0.316414,0.223146,1,0,0,0,0,0
392,'2020/03/23 12:45:18:158',5,0.542269,-0.40362,0.153917,0.001838,0.477348,0.323606,0.225679,1,0,0,0,0,0
393,'2020/03/23 12:45:18:169',5,0.530938,-0.401364,0.077647,0.013606,0.442408,0.245138,0.160375,1,0,0,0,0,0
394,'2020/03/23 12:45:18:181',5,0.570154,-0.386713,0.132039,-0.004602,0.453344,0.293322,0.20929,1,0,0,0,0,0
395,'2020/03/23 12:45:18:192',5,0.551809,-0.406451,0.135527,-0.01087,0.454587,0.26121,0.209137,1,0,0,0,0,0
396,'2020/03/23 12:45:18:204',5,0.533372,-0.390685,0.173921,0.038081,0.436501,0.253318,0.224128,1,0,0,0,0,0
397,'2020/03/23 12:45:18:204',5,0.533372,-0.390685,0.173921,0.038081,0.436501,0.253318,0.224128,1,0,0,0,0,0
398,'2020/03/23 12:45:18:216',5,0.546697,-0.387842,0.166687,0.048624,0.487582,0.299007,0.212092,1,0,0,0,0,0
399,'2020/03/23 12:45:18:227',5,0.608371,-0.37941,0.140181,-0.000878,0.451431,0.317645,0.278504,1,0,0,0,0,0
400,'2020/03/23 12:45:18:239',5,0.624972,-0.370275,0.111972,0.011325,0.432132,0.274407,0.182501,1,0,0,0,0,0
401,'2020/03/23 12:45:18:250',5,0.575915,-0.39382,0.156188,0.029136,0.473424,0.296721,0.224006,1,0,0,0,0,0
402,'2020/03/23 12:45:18:262',5,0.582169,-0.36386,0.185758,-0.000658,0.458991,0.330897,0.2352,1,0,0,0,0,0
403,'2020/03/23 12:45:18:274',5,0.520099,-0.412967,0.105647,0.023814,0.480004,0.273472,0.172068,1,0,0,0,0,0
404,'2020/03/23 12:45:18:274',5,0.520099,-0.412967,0.105647,0.023814,0.480004,0.273472,0.172068,1,0,0,0,0,0
405,'2020/03/23 12:45:18:285',5,0.608659,-0.351923,0.122627,0.000389,0.425875,0.270883,0.174502,1,0,0,0,0,0
406,'2020/03/23 12:45:18:302',5,0.567708,-0.391983,0.142415,-0.003621,0.456317,0.270136,0.214828,1,0,0,0,0,0
407,'2020/03/23 12:45:18:309',5,0.550305,-0.405556,0.159439,0.026963,0.44764,0.257885,0.208517,1,0,0,0,0,0
408,'2020/03/23 12:45:18:320',5,0.518227,-0.377147,0.175063,0.05696,0.478429,0.272349,0.218509,1,0,0,0,0,0
409,'2020/03/23 12:45:18:332',5,0.598349,-0.372017,0.167335,0.004774,0.462113,0.333817,0.276995,1,0,0,0,0,0
410,'2020/03/23 12:45:18:344',5,0.629999,-0.375721,0.101249,-0.000113,0.437944,0.292847,0.204809,1,0,0,0,0,0
411,'2020/03/23 12:45:18:344',5,0.629999,-0.375721,0.101249,-0.000113,0.437944,0.292847,0.204809,1,0,0,0,0,0
