@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
90,'2020/03/24 18:45:39:936',1,0.536469,-0.409307,0.147765,0.010093,0.488528,0.321901,0.221835,0.150288,0.25819,0.347948,0.333302,0.156039,0.264425,1,0,0,0,0,0
91,'2020/03/24 18:45:39:948',1,0.538197,-0.395268,0.072429,0.011438,0.430053,0.241174,0.161698,0.103571,0.18337,0.249953,0.258049,0.134693,0.269804,1,0,0,0,0,0
92,'2020/03/24 18:45:39:960',1,0.561054,-0.395621,0.129348,-0.008684,0.449703,0.283795,0.207861,0.150157,0.210545,0.276087,0.268316,0.143113,0.279055,1,0,0,0,0,0
93,'2020/03/24 18:45:39:974',1,0.543141,-0.415662,0.132018,-0.011467,0.453105,0.259134,0.206982,0.121676,0.198153,0.290677,0.315266,0.169166,0.316289,1,0,0,0,0,0
94,'2020/03/24 18:45:39:975',1,0.543141,-0.415662,0.132018,-0.011467,0.453105,0.259134,0.206982,0.121676,0.198153,0.290677,0.315266,0.169166,0.316289,1,0,0,0,0,0
95,'2020/03/24 18:45:39:994',1,0.561489,-0.387972,0.166788,0.042138,0.484817,0.306531,0.214081,0.145882,0.228852,0.337021,0.320348,0.191019,0.357942,1,0,0,0,0,0
96,'2020/03/24 18:45:39:995',1,0.561489,-0.387972,0.166788,0.042138,0.484817,0.306531,0.214081,0.145882,0.228852,0.337021,0.320348,0.191019,0.357942,1,0,0,0,0,0
97,'2020/03/24 18:45:40:006',1,0.610578,-0.385913,0.126143,-0.001288,0.448307,0.310861,0.269278,0.185333,0.256459,0.299677,0.317341,0.163649,0.283943,1,0,0,0,0,0
98,'2020/03/24 18:45:40:017',1,0.616336,-0.37162,0.117738,0.016753,0.432295,0.267746,0.181548,0.156467,0.276186,0.351431,0.333342,0.165053,0.284515,1,0,0,0,0,0
99,'2020/03/24 18:45:40:029',1,0.573974,-0.388625,0.164712,0.028179,0.479594,0.306156,0.224339,0.17559,0.259252,0.327985,0.303822,0.210661,0.308742,1,0,0,0,0,0
100,'2020/03/24 18:45:40:041',1,0.566841,-0.378827,0.173799,-0.003031,0.463033,0.328761,0.232094,0.166562,0.275675,0.359324,0.344998,0.175545,0.28106,1,0,0,0,0,0
101,'2020/03/24 18:45:40:052',1,0.523658,-0.408488,0.095867,0.021629,0.46837,0.262477,0.167022,0.104056,0.189205,0.265111,0.270136,0.123856,0.25769,1,0,0,0,0,0
102,'2020/03/24 18:45:40:064',1,0.600515,-0.366765,0.127835,-0.004006,0.437564,0.284574,0.185855,0.137747,0.177705,0.241553,0.252678,0.141714,0.254571,1,0,0,0,0,0
103,'2020/03/24 18:45:40:064',1,0.600515,-0.366765,0.127835,-0.004006,0.437564,0.284574,0.185855,0.137747,0.177705,0.241553,0.252678,0.141714,0.254571,1,0,0,0,0,0
104,'2020/03/24 18:45:40:077',1,0.56507,-0.393331,0.142354,-0.005823,0.456947,0.26748,0.213618,0.138043,0.206171,0.289974,0.297879,0.164416,0.319365,1,0,0,0,0,0
105,'2020/03/24 18:45:40:087',1,0.544072,-0.402519,0.162428,0.029795,0.440763,0.254281,0.211552,0.130577,0.196735,0.292699,0.293415,0.135084,0.266162,1,0,0,0,0,0
106,'2020/03/24 18:45:40:099',1,0.525415,-0.381026,0.171778,0.056532,0.485598,0.282783,0.215018,0.164897,0.231859,0.333811,0.296627,0.154016,0.341873,1,0,0,0,0,0
107,'2020/03/24 18:45:40:111',1,0.598028,-0.374535,0.160116,0.001509,0.458345,0.331354,0.284998,0.181525,0.245497,0.305186,0.329375,0.190777,0.314302,1,0,0,0,0,0
108,'2020/03/24 18:45:40:122',1,0.631745,-0.372436,0.10324,0.002634,0.435022,0.286928,0.193674,0.171584,0.281593,0.342782,0.327914,0.16907,0.306639,1,0,0,0,0,0
109,'2020/03/24 18:45:40:134',1,0.573133,-0.401687,0.140144,0.029251,0.458012,0.27638,0.216296,0.156989,0.254488,0.325192,0.29821,0.184318,0.278888,1,0,0,0,0,0
