@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
97,'2020/03/23 13:16:08:464',1,0.612972,-0.391607,0.109827,-0.003333,0.441641,0.301852,0.251306,0.185003,0.266398,0.308131,0.315091,0.159471,0.282059,1,0,0,0,0,0
98,'2020/03/23 13:16:08:477',1,0.597641,-0.379071,0.123901,0.022328,0.433045,0.259639,0.185126,0.151735,0.27543,0.351987,0.331017,0.165952,0.275175,1,0,0,0,0,0
99,'2020/03/23 13:16:08:488',1,0.574923,-0.378878,0.175884,0.024067,0.482472,0.315243,0.223256,0.184266,0.266062,0.329886,0.310331,0.215946,0.319563,1,0,0,0,0,0
100,'2020/03/23 13:16:08:499',1,0.544482,-0.401145,0.156046,-0.001175,0.472762,0.323435,0.226248,0.157713,0.270284,0.360778,0.346505,0.170598,0.275957,1,0,0,0,0,0
101,'2020/03/23 13:16:08:499',1,0.544482,-0.401145,0.156046,-0.001175,0.472762,0.323435,0.226248,0.157713,0.270284,0.360778,0.346505,0.170598,0.275957,1,0,0,0,0,0
102,'2020/03/23 13:16:08:511',1,0.528321,-0.403865,0.079512,0.013837,0.446167,0.246556,0.160013,0.100815,0.18176,0.25316,0.259384,0.124555,0.261016,1,0,0,0,0,0
103,'2020/03/23 13:16:08:522',1,0.573528,-0.384772,0.130436,-0.006287,0.450214,0.292444,0.205612,0.15245,0.202776,0.262432,0.262217,0.142565,0.268257,1,0,0,0,0,0
104,'2020/03/23 13:16:08:534',1,0.555261,-0.402899,0.13735,-0.009883,0.455362,0.26235,0.20996,0.12944,0.20223,0.289549,0.306229,0.167521,0.320295,1,0,0,0,0,0
105,'2020/03/23 13:16:08:545',1,0.536591,-0.392223,0.172602,0.037394,0.437361,0.25384,0.222074,0.149913,0.203938,0.302892,0.292516,0.136169,0.279629,1,0,0,0,0,0
106,'2020/03/23 13:16:08:557',1,0.541747,-0.387294,0.166949,0.050364,0.487988,0.296297,0.21227,0.153331,0.229589,0.336161,0.308998,0.174375,0.354011,1,0,0,0,0,0
107,'2020/03/23 13:16:08:568',1,0.606939,-0.377566,0.144847,-0.000542,0.452622,0.32027,0.280631,0.183012,0.246903,0.296745,0.321899,0.174724,0.295036,1,0,0,0,0,0
108,'2020/03/23 13:16:08:569',1,0.606939,-0.377566,0.144847,-0.000542,0.452622,0.32027,0.280631,0.183012,0.246903,0.296745,0.321899,0.174724,0.295036,1,0,0,0,0,0
109,'2020/03/23 13:16:08:580',1,0.627739,-0.369943,0.110323,0.00991,0.432801,0.277296,0.184212,0.163749,0.278197,0.34814,0.332022,0.166258,0.297003,1,0,0,0,0,0
110,'2020/03/23 13:16:08:593',1,0.575898,-0.395714,0.152977,0.029234,0.470752,0.292901,0.223215,0.167995,0.256769,0.326918,0.299344,0.199262,0.294152,1,0,0,0,0,0
111,'2020/03/23 13:16:08:603',1,0.585616,-0.360396,0.188784,0.000435,0.458358,0.331505,0.236081,0.178757,0.279237,0.352369,0.338409,0.179737,0.287042,1,0,0,0,0,0
